Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
211.05,133117090,Tornillo de Esponjosa de rosca completa en titanio 6.5x90mm,Stock,25,
212,Tornillo bloqueado en titanio 6.5,,Stock,94,
212.01,133218050,Tornillo bloqueado en titanio 6.5x50mm,Stock,7,
212.02,133218055,Tornillo bloqueado en titanio 6.5x55mm,Stock,7,
212.03,133218060,Tornillo bloqueado en titanio 6.5x60mm,Stock,6,
212.04,133218065,Tornillo bloqueado en titanio 6.5x65mm,Stock,4,
212.05,133218070,Tornillo bloqueado en titanio 6.5x70mm,Stock,5,
212.06,133218075,Tornillo bloqueado en titanio 6.5x75mm,Stock,7,
212.07,133218080,Tornillo bloqueado en titanio 6.5x80mm,Stock,7,
212.08,133218085,Tornillo bloqueado en titanio 6.5x85mm,Stock,12,
212.09,133218090,Tornillo bloqueado en titanio 6.5x90mm,Stock,15,
212.1,133218095,Tornillo bloqueado en titanio 6.5x95mm,Stock,24,
213,Tornillo Canulado con longitud en titanio 6.5 ,,Stock,250,
213.01,134311040,Tornillo Canulado con longitud de 16mm en titanio 6.5x40mm,Stock,13,
213.02,134311045,Tornillo Canulado con longitud de 16mm en titanio 6.5x45mm,Stock,12,
213.03,134311050,Tornillo Canulado con longitud de 16mm en titanio 6.5x50mm,Stock,13,
213.04,134311055,Tornillo Canulado con longitud de 16mm en titanio 6.5x55mm,Stock,13,
213.05,134311060,Tornillo Canulado con longitud de 16mm en titanio 6.5x60mm,Stock,13,
213.06,134311065,Tornillo Canulado con longitud de 16mm en titanio 6.5x65mm,Stock,10,
213.07,134311070,Tornillo Canulado con longitud de 16mm en titanio 6.5x70mm,Stock,9,
213.08,134311080,Tornillo Canulado con longitud de 16mm en titanio 6.5x80mm,Stock,0,
213.09,134311085,Tornillo Canulado con longitud de 16mm en titanio 6.5x85mm,Stock,1,
213.1,134311090,Tornillo Canulado con longitud de 16mm en titanio 6.5x90mm,Stock,11,
213.11,134311100,Tornillo Canulado con longitud de 16mm en titanio 6.5x100mm,Stock,3,
213.12,134312040,Tornillo Canulado con longitud de 32mm en titanio 6.5x40mm,Stock,0,
213.13,134312045,Tornillo Canulado con longitud de 32mm en titanio 6.5x45mm,Stock,0,
213.14,134312050,Tornillo Canulado con longitud de 32mm en titanio 6.5x50mm,Stock,0,
213.15,134312055,Tornillo Canulado con longitud de 32mm en titanio 6.5x55mm,Stock,0,
213.16,134312060,Tornillo Canulado con longitud de 32mm en titanio 6.5x60mm,Stock,0,
213.17,134312065,Tornillo Canulado con longitud de 32mm en titanio 6.5x65mm,Stock,0,
213.18,134312070,Tornillo Canulado con longitud de 32mm en titanio 6.5x70mm,Stock,0,
213.19,134312075,Tornillo Canulado con longitud de 32mm en titanio 6.5x75mm,Stock,16,
213.2,134312080,Tornillo Canulado con longitud de 32mm en titanio 6.5x80mm,Stock,24,
213.21,134312085,Tornillo Canulado con longitud de 32mm en titanio 6.5x85mm,Stock,32,
213.22,134312090,Tornillo Canulado con longitud de 32mm en titanio 6.5x90mm,Stock,49,
213.23,134312095,Tornillo Canulado con longitud de 32mm en titanio 6.5x95mm,Stock,31,
213.24,134312100,Tornillo Canulado con longitud de 32mm en titanio 6.5x100mm,Stock,0,
214,134411000,Arandela de tornillo en titanio 6.5,Stock,0,
300,,Placas 3.5,Stock,,
301,Placa bloqueada anatómica anterosuperior de Clavícula en titanio y sus componentes,,Stock,70,
301.01,122265106,Placa bloqueada anatómica anterosuperior de Clavícula en titanio de 6 orificios izq.,Stock,15,
301.02,122265107,Placa bloqueada anatómica anterosuperior de Clavícula en titanio de 7 orificios izq.,Stock,13,
301.03,122265108,Placa bloqueada anatómica anterosuperior de Clavícula en titanio de 8 orificios izq.,Stock,9,
301.04,122265206,Placa bloqueada anatómica anterosuperior de Clavícula en titanio de 6 orificios der.,Stock,11,
301.05,122265207,Placa bloqueada anatómica anterosuperior de Clavícula en titanio de 7 orificios der.,Stock,13,
301.06,122265208,Placa bloqueada anatómica anterosuperior de Clavícula en titanio de 8 orificios der.,Stock,9,
302,Placa con extensión lateral de Clavícula en titanio y sus componentes,,Stock,27,
302.01,122264104,Placa con extensión lateral de Clavícula en titanio de 3 orificios izq.,Stock,6,
302.02,122264105,Placa con extensión lateral de Clavícula en titanio de 5 orificios izq.,Stock,6,
